"No.","Time","Source","Destination","Length","Protocol","Info","New Column"
"6546","21.947124","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2479, FN=0, Flags=.p..R.F.C","6546"
"6547","21.947130","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2480, FN=0, Flags=.p..R.F.C","6547"
"6548","21.947132","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2483, FN=0, Flags=.p..R.F.C","6548"
"6549","21.947136","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2484, FN=0, Flags=.p..R.F.C","6549"
"6551","21.948451","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2476, FN=0, Flags=.p..R.F.C","6551"
"6552","21.948455","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2477, FN=0, Flags=.p..R.F.C","6552"
"6553","21.948458","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2478, FN=0, Flags=.p..R.F.C","6553"
"6554","21.948460","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2479, FN=0, Flags=.p..R.F.C","6554"
"6555","21.948462","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2480, FN=0, Flags=.p..R.F.C","6555"
"6556","21.948464","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2483, FN=0, Flags=.p..R.F.C","6556"
"6582","21.955073","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2494, FN=0, Flags=.p..R.F.C","6582"
"6583","21.955076","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2495, FN=0, Flags=.p..R.F.C","6583"
"6584","21.955081","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2496, FN=0, Flags=.p..R.F.C","6584"
"6585","21.955084","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2497, FN=0, Flags=.p..R.F.C","6585"
"6586","21.955087","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2498, FN=0, Flags=.p..R.F.C","6586"
"6587","21.955090","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2499, FN=0, Flags=.p..R.F.C","6587"
"6588","21.955093","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2500, FN=0, Flags=.p..R.F.C","6588"
"6589","21.955096","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2501, FN=0, Flags=.p..R.F.C","6589"
"6590","21.955099","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2502, FN=0, Flags=.p..R.F.C","6590"
"6592","21.955378","D-LinkIn_80:0f:6b","Apple_77:2c:75","1500","802.11","QoS Data, SN=2494, FN=0, Flags=.p..R.F.C","6592"
"6709","21.979512","D-LinkIn_80:0f:6b","Motorola_38:78:35","487","802.11","QoS Data, SN=309, FN=0, Flags=.p..R.F.C","6709"
"6711","21.979738","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=1240, FN=0, Flags=.p..R..TC","6711"
"6718","21.985813","D-LinkIn_80:0f:6b","Apple_77:2c:75","152","802.11","QoS Data, SN=2514, FN=0, Flags=.p..R.F.C","6718"
"6720","21.986405","D-LinkIn_80:0f:6b","Apple_77:2c:75","152","802.11","QoS Data, SN=2514, FN=0, Flags=.p..R.F.C","6720"
"6722","21.987005","D-LinkIn_80:0f:6b","Apple_77:2c:75","152","802.11","QoS Data, SN=2514, FN=0, Flags=.p..R.F.C","6722"
"6724","21.987481","D-LinkIn_80:0f:6b","Apple_77:2c:75","152","802.11","QoS Data, SN=2514, FN=0, Flags=.p..R.F.C","6724"
"6737","21.992149","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2520, FN=0, Flags=.p..R.F.C","6737"
"6738","21.992154","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2521, FN=0, Flags=.p..R.F.C","6738"
"6819","22.007701","D-LinkIn_80:0f:6b","Apple_77:2c:75","1500","802.11","QoS Data, SN=2578, FN=0, Flags=.p..R.F.C","6819"
"6820","22.010211","D-LinkIn_80:0f:6b","Apple_77:2c:75","1500","802.11","QoS Data, SN=2591, FN=0, Flags=.p..R.F.C","6820"
"6821","22.010518","D-LinkIn_80:0f:6b","Apple_77:2c:75","1500","802.11","QoS Data, SN=2591, FN=0, Flags=.p..R.F.C","6821"
"6823","22.011003","D-LinkIn_80:0f:6b","Apple_77:2c:75","1500","802.11","QoS Data, SN=2591, FN=0, Flags=.p..R.F.C","6823"
"6834","22.013606","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2593, FN=0, Flags=.p..R.F.C","6834"
"6835","22.013611","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2594, FN=0, Flags=.p..R.F.C","6835"
"6836","22.013620","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2595, FN=0, Flags=.p..R.F.C","6836"
"6842","22.020796","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2593, FN=0, Flags=.p..R.F.C","6842"
"6843","22.020801","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2594, FN=0, Flags=.p..R.F.C","6843"
"6844","22.020804","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2595, FN=0, Flags=.p..R.F.C","6844"
"6845","22.020806","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2596, FN=0, Flags=.p..R.F.C","6845"
"6846","22.020808","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2597, FN=0, Flags=.p..R.F.C","6846"
"6847","22.020810","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2598, FN=0, Flags=.p..R.F.C","6847"
"6848","22.020813","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2599, FN=0, Flags=.p..R.F.C","6848"
"6849","22.020815","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2600, FN=0, Flags=.p..R.F.C","6849"
"6850","22.020818","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2601, FN=0, Flags=.p..R.F.C","6850"
"6852","22.023504","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2593, FN=0, Flags=.p..R.F.C","6852"
"6853","22.023513","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2594, FN=0, Flags=.p..R.F.C","6853"
"6854","22.023516","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2595, FN=0, Flags=.p..R.F.C","6854"
"6855","22.023520","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2596, FN=0, Flags=.p..R.F.C","6855"
"6856","22.023523","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2597, FN=0, Flags=.p..R.F.C","6856"
"6857","22.023527","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2598, FN=0, Flags=.p..R.F.C","6857"
"6858","22.023530","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2599, FN=0, Flags=.p..R.F.C","6858"
"6859","22.023774","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2600, FN=0, Flags=.p..R.F.C","6859"
"6860","22.023779","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2601, FN=0, Flags=.p..R.F.C","6860"
"6878","22.027402","D-LinkIn_80:0f:6b","IntelCor_09:c9:5a","211","802.11","QoS Data, SN=1399, FN=0, Flags=.p..R.F.C","6878"
"6902","22.052024","D-LinkIn_80:0f:6b","Apple_77:2c:75","152","802.11","QoS Data, SN=2618, FN=0, Flags=.p..R.F.C","6902"
"6907","22.055826","D-LinkIn_80:0f:6b","Apple_77:2c:75","235","802.11","QoS Data, SN=2619, FN=0, Flags=.p..R.F.C","6907"
"6909","22.056165","D-LinkIn_80:0f:6b","Apple_77:2c:75","235","802.11","QoS Data, SN=2619, FN=0, Flags=.p..R.F.C","6909"
"6957","22.065416","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2645, FN=0, Flags=.p..R.F.C","6957"
"6958","22.065425","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2646, FN=0, Flags=.p..R.F.C","6958"
"6959","22.065454","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2647, FN=0, Flags=.p..R.F.C","6959"
"6960","22.065458","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2648, FN=0, Flags=.p..R.F.C","6960"
"7041","22.080099","Apple_77:2c:75","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=1214, FN=0, Flags=.p..R..T.","7041"
"7044","22.080634","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2703, FN=0, Flags=.p..R.F.C","7044"
"7045","22.080639","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2704, FN=0, Flags=.p..R.F.C","7045"
"7067","22.107680","D-LinkIn_80:0f:6b","Apple_77:2c:75","1500","802.11","QoS Data, SN=2716, FN=0, Flags=.p..R.F.C","7067"
"7073","22.108689","D-LinkIn_80:0f:6b","Apple_77:2c:75","1500","802.11","QoS Data, SN=2717, FN=0, Flags=.p..R.F.C","7073"
"7093","22.112951","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2731, FN=0, Flags=.p..R.F.C","7093"
"7094","22.112962","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2732, FN=0, Flags=.p..R.F.C","7094"
"7095","22.112968","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2733, FN=0, Flags=.p..R.F.C","7095"
"7096","22.112971","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2734, FN=0, Flags=.p..R.F.C","7096"
"7098","22.114030","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2731, FN=0, Flags=.p..R.F.C","7098"
"7099","22.114042","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2732, FN=0, Flags=.p..R.F.C","7099"
"7100","22.114048","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2733, FN=0, Flags=.p..R.F.C","7100"
"7101","22.114051","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2734, FN=0, Flags=.p..R.F.C","7101"
"7103","22.115379","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2731, FN=0, Flags=.p..R.F.C","7103"
"7104","22.115388","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2732, FN=0, Flags=.p..R.F.C","7104"
"7105","22.115395","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2733, FN=0, Flags=.p..R.F.C","7105"
"7106","22.115398","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2734, FN=0, Flags=.p..R.F.C","7106"
"7108","22.116144","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2731, FN=0, Flags=.p..R.F.C","7108"
"7109","22.116170","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2732, FN=0, Flags=.p..R.F.C","7109"
"7115","22.119510","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2733, FN=0, Flags=.p..R.F.C","7115"
"7116","22.119516","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2734, FN=0, Flags=.p..R.F.C","7116"
"7219","22.138423","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2801, FN=0, Flags=.p..R.F.C","7219"
"7220","22.138436","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2802, FN=0, Flags=.p..R.F.C","7220"
"7221","22.138441","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2803, FN=0, Flags=.p..R.F.C","7221"
"7222","22.138443","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2804, FN=0, Flags=.p..R.F.C","7222"
"7223","22.138446","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2805, FN=0, Flags=.p..R.F.C","7223"
"7265","22.147351","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2825, FN=0, Flags=.p..R.F.C","7265"
"7266","22.147355","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2826, FN=0, Flags=.p..R.F.C","7266"
"7267","22.147358","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2827, FN=0, Flags=.p..R.F.C","7267"
"7268","22.147359","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2828, FN=0, Flags=.p..R.F.C","7268"
"7269","22.147362","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2829, FN=0, Flags=.p..R.F.C","7269"
"7270","22.147364","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2830, FN=0, Flags=.p..R.F.C","7270"
"7271","22.147367","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2831, FN=0, Flags=.p..R.F.C","7271"
"7272","22.147369","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2832, FN=0, Flags=.p..R.F.C","7272"
"7273","22.147371","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2833, FN=0, Flags=.p..R.F.C","7273"
"7274","22.149261","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2825, FN=0, Flags=.p..R.F.C","7274"
"7275","22.149265","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2826, FN=0, Flags=.p..R.F.C","7275"
"7276","22.149269","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2827, FN=0, Flags=.p..R.F.C","7276"
"7277","22.149272","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2828, FN=0, Flags=.p..R.F.C","7277"
"7278","22.149275","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2829, FN=0, Flags=.p..R.F.C","7278"
"7279","22.149278","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2830, FN=0, Flags=.p..R.F.C","7279"
"7280","22.149286","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2831, FN=0, Flags=.p..R.F.C","7280"
"7281","22.149290","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2832, FN=0, Flags=.p..R.F.C","7281"
"7282","22.149295","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2833, FN=0, Flags=.p..R.F.C","7282"
"7284","22.149778","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=1245, FN=0, Flags=.p..R..TC","7284"
"7287","22.151798","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2825, FN=0, Flags=.p..R.F.C","7287"
"7288","22.151806","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2826, FN=0, Flags=.p..R.F.C","7288"
"7289","22.151810","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2827, FN=0, Flags=.p..R.F.C","7289"
"7290","22.151813","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2828, FN=0, Flags=.p..R.F.C","7290"
"7291","22.151817","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2829, FN=0, Flags=.p..R.F.C","7291"
"7292","22.151819","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2830, FN=0, Flags=.p..R.F.C","7292"
"7293","22.151823","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2831, FN=0, Flags=.p..R.F.C","7293"
"7294","22.151826","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2832, FN=0, Flags=.p..R.F.C","7294"
"7295","22.151830","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2833, FN=0, Flags=.p..R.F.C","7295"
"7297","22.154308","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2825, FN=0, Flags=.p..R.F.C","7297"
"7298","22.154332","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2826, FN=0, Flags=.p..R.F.C","7298"
"7299","22.154338","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2827, FN=0, Flags=.p..R.F.C","7299"
"7300","22.154344","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2828, FN=0, Flags=.p..R.F.C","7300"
"7301","22.154348","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2829, FN=0, Flags=.p..R.F.C","7301"
"7302","22.154354","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2830, FN=0, Flags=.p..R.F.C","7302"
"7303","22.154358","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2831, FN=0, Flags=.p..R.F.C","7303"
"7304","22.154364","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2832, FN=0, Flags=.p..R.F.C","7304"
"7343","22.161150","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2834, FN=0, Flags=.p..R.F.C","7343"
"7344","22.161161","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2835, FN=0, Flags=.p..R.F.C","7344"
"7345","22.161177","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2836, FN=0, Flags=.p..R.F.C","7345"
"7346","22.161182","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2837, FN=0, Flags=.p..R.F.C","7346"
"7347","22.161188","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2838, FN=0, Flags=.p..R.F.C","7347"
"7348","22.161192","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2839, FN=0, Flags=.p..R.F.C","7348"
"7349","22.161198","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2840, FN=0, Flags=.p..R.F.C","7349"
"7350","22.161203","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2841, FN=0, Flags=.p..R.F.C","7350"
"7351","22.161210","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2842, FN=0, Flags=.p..R.F.C","7351"
"7518","22.183871","D-LinkIn_80:0f:6b","Motorola_38:78:35","1508","802.11","QoS Data, SN=1487, FN=0, Flags=.p..R.F.C","7518"
"7519","22.183875","D-LinkIn_80:0f:6b","Motorola_38:78:35","1508","802.11","QoS Data, SN=1488, FN=0, Flags=.p..R.F.C","7519"
"7520","22.183878","D-LinkIn_80:0f:6b","Motorola_38:78:35","1508","802.11","QoS Data, SN=1489, FN=0, Flags=.p..R.F.C","7520"
"7521","22.183880","D-LinkIn_80:0f:6b","Motorola_38:78:35","1508","802.11","QoS Data, SN=1490, FN=0, Flags=.p..R.F.C","7521"
"7522","22.183885","D-LinkIn_80:0f:6b","Motorola_38:78:35","1508","802.11","QoS Data, SN=1491, FN=0, Flags=.p..R.F.C","7522"
"7523","22.183887","D-LinkIn_80:0f:6b","Motorola_38:78:35","1508","802.11","QoS Data, SN=1492, FN=0, Flags=.p..R.F.C","7523"
"7524","22.183889","D-LinkIn_80:0f:6b","Motorola_38:78:35","1508","802.11","QoS Data, SN=1493, FN=0, Flags=.p..R.F.C","7524"
"7525","22.183891","D-LinkIn_80:0f:6b","Motorola_38:78:35","1508","802.11","QoS Data, SN=1494, FN=0, Flags=.p..R.F.C","7525"
"7526","22.183893","D-LinkIn_80:0f:6b","Motorola_38:78:35","1508","802.11","QoS Data, SN=1495, FN=0, Flags=.p..R.F.C","7526"
"7538","22.185750","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=1287, FN=0, Flags=.p..R..TC","7538"
"7539","22.185753","Motorola_38:78:35","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=1288, FN=0, Flags=.p..R..TC","7539"
"7579","22.189534","XiaomiCo_81:86:a1","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=246, FN=0, Flags=.p..R..TC","7579"
"7647","22.217147","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2869, FN=0, Flags=.p..R.F.C","7647"
"7648","22.217154","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2870, FN=0, Flags=.p..R.F.C","7648"
"7649","22.217159","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2871, FN=0, Flags=.p..R.F.C","7649"
"7650","22.217162","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2872, FN=0, Flags=.p..R.F.C","7650"
"7651","22.217166","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2873, FN=0, Flags=.p..R.F.C","7651"
"7653","22.218272","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2869, FN=0, Flags=.p..R.F.C","7653"
"7654","22.218276","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2870, FN=0, Flags=.p..R.F.C","7654"
"7655","22.218280","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2871, FN=0, Flags=.p..R.F.C","7655"
"7656","22.218290","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2872, FN=0, Flags=.p..R.F.C","7656"
"7659","22.221936","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2869, FN=0, Flags=.p..R.F.C","7659"
"7660","22.221940","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2870, FN=0, Flags=.p..R.F.C","7660"
"7661","22.221945","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2871, FN=0, Flags=.p..R.F.C","7661"
"7662","22.221948","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2872, FN=0, Flags=.p..R.F.C","7662"
"7663","22.221956","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2873, FN=0, Flags=.p..R.F.C","7663"
"7789","22.246134","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2971, FN=0, Flags=.p..R.F.C","7789"
"7790","22.246137","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2972, FN=0, Flags=.p..R.F.C","7790"
"7792","22.246970","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2971, FN=0, Flags=.p..R.F.C","7792"
"7793","22.246973","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2972, FN=0, Flags=.p..R.F.C","7793"
"7795","22.247735","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2971, FN=0, Flags=.p..R.F.C","7795"
"7796","22.247738","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2972, FN=0, Flags=.p..R.F.C","7796"
"7801","22.249073","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2971, FN=0, Flags=.p..R.F.C","7801"
"7802","22.249076","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2972, FN=0, Flags=.p..R.F.C","7802"
"7804","22.250984","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2971, FN=0, Flags=.p..R.F.C","7804"
"7805","22.250988","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2972, FN=0, Flags=.p..R.F.C","7805"
"7820","22.254390","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2973, FN=0, Flags=.p..R.F.C","7820"
"7821","22.254394","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2974, FN=0, Flags=.p..R.F.C","7821"
"7822","22.254399","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2976, FN=0, Flags=.p..R.F.C","7822"
"7823","22.254400","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2977, FN=0, Flags=.p..R.F.C","7823"
"7824","22.254403","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2978, FN=0, Flags=.p..R.F.C","7824"
"7826","22.255655","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2973, FN=0, Flags=.p..R.F.C","7826"
"7827","22.255658","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2974, FN=0, Flags=.p..R.F.C","7827"
"7828","22.255661","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2976, FN=0, Flags=.p..R.F.C","7828"
"7829","22.255662","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2977, FN=0, Flags=.p..R.F.C","7829"
"7830","22.255665","D-LinkIn_80:0f:6b","Apple_77:2c:75","1508","802.11","QoS Data, SN=2978, FN=0, Flags=.p..R.F.C","7830"
"7847","22.258568","D-LinkIn_80:0f:6b","Apple_77:2c:75","329","802.11","QoS Data, SN=2991, FN=0, Flags=.p..R.F.C","7847"
"7849","22.259286","D-LinkIn_80:0f:6b","Apple_77:2c:75","329","802.11","QoS Data, SN=2991, FN=0, Flags=.p..R.F.C","7849"
"7851","22.259825","D-LinkIn_80:0f:6b","Apple_77:2c:75","329","802.11","QoS Data, SN=2991, FN=0, Flags=.p..R.F.C","7851"
